author,year,journal,species,variable,magnitude,i_units,d-variable,value,d_units,unitlessValue_old,,unitlessValue
Adams,1982,Can J Fish Aq Sci,Striped B.,Temp,13.9596671056901,C,Digest Rate,0.039100499680936,h^-1,0.457486071253979,0.412756338528012,0.188830275698357
Adams,1982,Can J Fish Aq Sci,Striped B.,Temp,17.0828990818683,C,Digest Rate,0.040876533191848,h^-1,0.47826612777379,0.505103368374838,0.241573832118132
Adams,1982,Can J Fish Aq Sci,Striped B.,Temp,20.0609860848651,C,Digest Rate,0.059626120358515,h^-1,0.697641200739793,0.593158783870654,0.413812006208878
Adams,1982,Can J Fish Aq Sci,Striped B.,Temp,20.0662543663746,C,Digest Rate,0.054884890390509,h^-1,0.642167570257459,0.593314555248992,0.38100736634263
Adams,1982,Can J Fish Aq Sci,Striped B.,Temp,23.0254442726526,C,Digest Rate,0.06522940920127,h^-1,0.763201145489637,0.680811225583379,0.519595907227439
Adams,1982,Can J Fish Aq Sci,Striped B.,Temp,26.0694229704708,C,Digest Rate,0.080485163193351,h^-1,0.941697456657169,0.770814912086518,0.725874442265293
Adams,1982,Can J Fish Aq Sci,Striped B.,Temp,28.0667888297161,C,Digest Rate,0.085468175181291,h^-1,1,0.829872582482318,0.829872582482318
Adams,1982,Can J Fish Aq Sci,Striped B.,Temp,26.0256924163469,C,Digest Rate,0.072822173725692,h^-1,0.852038475973366,0.769521896768508,0.655662264150773
Coutant,1975,Nat. Symp. Centr.,Largemouth B.,Temp,5,C,Cruising speed,19,ft/s,0.231707317073171,0.147838890212421,0.034255352610195
Coutant,1975,Nat. Symp. Centr.,Largemouth B.,Temp,12,C,Cruising speed,44,ft/s,0.536585365853659,0.354813336509809,0.190387643980873
Coutant,1975,Nat. Symp. Centr.,Largemouth B.,Temp,17,C,Cruising speed,48,ft/s,0.585365853658537,0.50265222672223,0.294235449788622
Coutant,1975,Nat. Symp. Centr.,Largemouth B.,Temp,22,C,Cruising speed,82,ft/s,1,0.650491116934651,0.650491116934651
Coutant,1975,Nat. Symp. Centr.,Largemouth B.,Temp,29,C,Cruising speed,80,ft/s,0.975609756097561,0.85746556323204,0.836551769006868
Coutant,1975,Nat. Symp. Centr.,Largemouth B.,Temp,5,C,feeding rate,0.010394579909886,worms/fish/day,0.002407096619516,0.147838890212421,0.000355862492863
Coutant,1975,Nat. Symp. Centr.,Largemouth B.,Temp,11.9515306122449,C,feeding rate,1.60399549430162,worms/fish/day,0.37144090146248,0.353380204410812,0.131259861685347
Coutant,1975,Nat. Symp. Centr.,Largemouth B.,Temp,16.9897959183673,C,feeding rate,2.30846640604294,worms/fish/day,0.534576840086311,0.502350514701387,0.268544950764799
Coutant,1975,Nat. Symp. Centr.,Largemouth B.,Temp,19.9234693877551,C,feeding rate,4.104699509674,worms/fish/day,0.950534643970271,0.58909272069337,0.55995303952975
Coutant,1975,Nat. Symp. Centr.,Largemouth B.,Temp,26.9387755102041,C,feeding rate,4.31830605618871,worms/fish/day,1,0.796519735022022,0.796519735022022
Lemons&Crenshaw,1985,Physiological Zoology,Largemouth B.,Temp,4,C,feeding rate,2.01378555775156,worms/day/100mg,0.008310406188182,0.118271112169937,0.00098288098246
Lemons&Crenshaw,1985,Physiological Zoology,Largemouth B.,Temp,6,C,feeding rate,3.45130559957209,worms/day/100mg,0.014242703897437,0.177406668254905,0.002526750645386
Lemons&Crenshaw,1985,Physiological Zoology,Largemouth B.,Temp,8,C,feeding rate,2.35717378185871,worms/day/100mg,0.009727486379062,0.236542224339873,0.002300961265339
Lemons&Crenshaw,1985,Physiological Zoology,Largemouth B.,Temp,10,C,feeding rate,19.914785691719,worms/day/100mg,0.082183506387624,0.295677780424841,0.024299836756224
Lemons&Crenshaw,1985,Physiological Zoology,Largemouth B.,Temp,12,C,feeding rate,63.0867337983742,worms/day/100mg,0.260343699919851,0.354813336509809,0.092373416807871
Lemons&Crenshaw,1985,Physiological Zoology,Largemouth B.,Temp,14,C,feeding rate,131.609217738417,worms/day/100mg,0.543119426646553,0.413948892594778,0.224823685207051
Lemons&Crenshaw,1985,Physiological Zoology,Largemouth B.,Temp,16,C,feeding rate,159.981808744841,worms/day/100mg,0.660206250994329,0.473084448679746,0.312333310266574
Lemons&Crenshaw,1985,Physiological Zoology,Largemouth B.,Temp,18,C,feeding rate,242.320954253151,worms/day/100mg,1,0.532220004764714,0.532220004764714
